,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,Top Gun,6.9 (379k),"Drama , Action & Adventure ",1h 50min,PG,Tony Scott 
1,No Time to Die,7.3 (366k),"Mystery & Thriller , Action & Adventure ",1h 30min,PG-13,Cary Joji Fukunaga 
2,Sonic the Hedgehog,6.5 (132k),"Action & Adventure , Science-Fiction , Comedy , Kids & Family , Fantasy , Animation , Crime ",1h 39min,PG,Jeff Fowler 
3,The Wolf of Wall Street,8.2 (1m),"Comedy , Drama , Crime ",3h 0min,R,Martin Scorsese 
4,Emergency,6.1 (5k),"Mystery & Thriller , Drama , Comedy ",1h 45min,R,Carey Williams 
5,Field of Dreams,7.5 (118k),"Fantasy , Drama , Kids & Family , Sport , Made in Europe ",1h 47min,PG,Phil Alden Robinson 
6,Marry Me,6.0 (24k),"Comedy , Music & Musical , Romance ",1h 52min,PG-13,Kat Coiro 
7,Tombstone,7.8 (145k),"Western , Romance , Drama , History , Action & Adventure ",2h 9min,R,George P. Cosmatos 
8,Candyman,5.9 (58k),"Horror , Mystery & Thriller , Drama ",1h 31min,R,Nia DaCosta 
9,Office Space,7.7 (261k),Comedy ,1h 29min,R,Mike Judge 
10,Twilight,5.3 (455k),"Fantasy , Romance , Drama ",2h 2min,PG-13,Catherine Hardwicke 
11,Coherence,7.2 (124k),"Mystery & Thriller , Documentary , Science-Fiction , Horror , Drama ",1h 28min,PG,James Ward Byrkit 
12,The Sandlot,7.8 (89k),"Comedy , Drama , Kids & Family , Sport ",1h 41min,PG,David Mickey Evans 
13,Shaun of the Dead,7.9 (547k),"Horror , Made in Europe , Comedy ",1h 39min,R,Edgar Wright 
14,Arrival,7.9 (673k),"Science-Fiction , Drama , Mystery & Thriller ",1h 52min,PG-13,Denis Villeneuve 
15,A League of Their Own,7.3 (105k),"Comedy , Drama , Kids & Family , Sport ",2h 7min,PG,Penny Marshall 
16,Anchorman 2: The Legend Continues,6.3 (177k),Comedy ,1h 59min,PG-13,Adam McKay 
17,A Quiet Place Part II,7.2 (212k),"Horror , Science-Fiction , Mystery & Thriller , Drama ",1h 37min,PG-13,John Krasinski 
18,Con Air,6.9 (295k),"Mystery & Thriller , Action & Adventure , Crime ",1h 56min,R,Simon West 
19,The Color of Money,7.0 (82k),"Drama , Sport ",1h 59min,R,Martin Scorsese 
20,Wrath of Man,7.1 (165k),"Mystery & Thriller , Crime , Drama , Action & Adventure , Comedy ",1h 58min,R,Guy Ritchie 
21,Skyfall,7.8 (687k),"Mystery & Thriller , Action & Adventure ",2h 23min,PG-13,Sam Mendes 
22,Casino Royale,8.0 (646k),"Mystery & Thriller , Action & Adventure , Made in Europe ",2h 15min,NULL,Martin Campbell 
23,Val,7.7 (10k),Documentary ,1h 49min,R,Ting Poo 
24,Knowing,6.2 (232k),"Mystery & Thriller , Science-Fiction , Action & Adventure , Drama ",2h 1min,PG-13,Alex Proyas 
25,mother!,6.6 (213k),"Horror , Drama ",2h 1min,R,Darren Aronofsky 
26,Groundhog Day,8.1 (616k),"Fantasy , Romance , Comedy , Drama ",1h 41min,PG,Harold Ramis 
27,The Terminator,8.1 (846k),"Mystery & Thriller , Action & Adventure , Science-Fiction ",1h 47min,R,James Cameron 
28,"O Brother, Where Art Thou?",7.7 (307k),"Comedy , Crime , Music & Musical ",1h 47min,PG-13,Joel Coen 
29,Jack Reacher,7.0 (336k),"Mystery & Thriller , Crime , Action & Adventure ",2h 10min,PG-13,Christopher McQuarrie 
30,Respect,6.5 (12k),"Drama , Music & Musical ",2h 25min,PG-13,Liesl Tommy 
31,The Usual Suspects,8.5 (1m),"Drama , Crime , Mystery & Thriller ",1h 46min,R,Bryan Singer 
32,Independence Day,7.0 (565k),"Action & Adventure , Science-Fiction ",2h 25min,PG-13,Roland Emmerich 
33,Black Swan,8.0 (748k),"Mystery & Thriller , Drama , Horror ",1h 48min,R,Darren Aronofsky 
34,Fantastic Mr. Fox,7.9 (225k),"Comedy , Drama , Kids & Family , Animation , Crime ",1h 27min,PG,Wes Anderson 
35,Bull Durham,7.0 (53k),"Comedy , Romance , Sport ",1h 48min,R,Ron Shelton 
36,Fargo,8.1 (665k),"Drama , Mystery & Thriller , Crime ",1h 38min,R,Joel Coen 
37,Killer Joe,6.7 (76k),"Horror , Mystery & Thriller , Drama , Crime ",1h 42min,R,William Friedkin 
38,Signs,6.8 (357k),"Mystery & Thriller , Science-Fiction , Drama ",1h 46min,PG-13,M. Night Shyamalan 
39,Train to Busan,7.6 (211k),"Action & Adventure , Mystery & Thriller , Horror ",1h 58min,NULL,Yeon Sang-ho 
40,Killer Joe,6.7 (77k),"Horror , Mystery & Thriller , Crime , Drama ",1h 42min,R,William Friedkin 
41,Blow Out,7.4 (51k),"Mystery & Thriller , Crime , Drama ",1h 47min,R,Brian De Palma 
42,Flag Day,5.1 (1k),"Mystery & Thriller , Crime , Drama ",1h 48min,R,Sean Penn 
