,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,The Boys,8.7 (386k),"Science-Fiction , Crime , Drama , Comedy , Action & Adventure ",1h 0min,TV-MA,NULL
1,Dark Winds,7.8,"Drama , Crime , Mystery & Thriller ",46min,TV-MA,NULL
2,This Is Going to Hurt,8.5 (6k),"Comedy , Drama ",45min,NULL,Lucy Forbes 
3,Evil,7.7 (22k),"Drama , Crime , Horror , Mystery & Thriller ",45min,TV-MA,NULL
4,Gaslit,7.1 (3k),"Drama , History ",58min,TV-MA,NULL
5,Night Sky,7.4 (10k),"Science-Fiction , Drama , Fantasy ",54min,TV-MA,NULL
6,Yellowjackets,7.9 (39k),"Horror , Mystery & Thriller , Drama ",58min,TV-MA,NULL
7,Downton Abbey,8.7 (200k),"Drama , Romance , Made in Europe ",58min,TV-14,NULL
8,Killing Eve,8.2 (114k),"Drama , Mystery & Thriller , Action & Adventure ",42min,TV-14,NULL
9,The Man Who Fell to Earth,6.7 (3k),"Science-Fiction , Drama , Mystery & Thriller ",55min,TV-MA,NULL
10,The Summer I Turned Pretty,7.7 (4k),"Drama , Romance ",45min,TV-14,NULL
11,The Ipcress File,7.2 (2k),"Action & Adventure , War & Military , Drama , Mystery & Thriller ",49min,NULL,NULL
12,I Love That for You,7.2 (1k),Comedy ,28min,TV-MA,NULL
13,The First Lady,6.5 (3k),"Drama , History ",55min,TV-MA,NULL
14,The Chosen,9.4 (25k),"Drama , History ",47min,TV-PG,NULL
15,Animal Kingdom,8.2 (33k),"Drama , Crime ",49min,TV-MA,NULL
16,Outer Range,7.1 (20k),"Western , Drama , Mystery & Thriller ",50min,TV-MA,NULL
17,Endeavour,8.6 (25k),"Crime , Drama , Made in Europe ",1h 30min,TV-14,NULL
18,The Kids in the Hall,8.4 (10k),Comedy ,24min,TV-PG,NULL
19,Portlandia,7.8 (20k),Comedy ,22min,TV-14,NULL
20,House,8.7 (450k),Drama ,44min,TV-14,NULL
21,Suits,8.5 (398k),"Drama , Comedy ",44min,TV-14,NULL
22,Dexter: New Blood,8.2 (82k),"Drama , Crime ",53min,TV-MA,NULL
23,Scrubs,8.4 (252k),"Comedy , Drama ",24min,TV-14,NULL
24,SpongeBob SquarePants,8.2 (95k),"Science-Fiction , Animation , Comedy , Kids & Family , Fantasy ",19min,TV-Y7,NULL
25,Reacher,8.1 (101k),"Drama , Action & Adventure , Crime , Mystery & Thriller ",49min,TV-MA,NULL
26,Vikings,8.5 (512k),"Action & Adventure , Drama , War & Military , History , Romance , Made in Europe ",45min,TV-MA,NULL
27,Bosch,8.5 (67k),"Crime , Drama ",46min,TV-MA,NULL
28,Buffy the Vampire Slayer,8.3 (143k),"Science-Fiction , Drama , Fantasy , Romance , Action & Adventure ",52min,TV-14,NULL
29,The Americans,8.4 (96k),"Drama , Mystery & Thriller , Crime ",48min,TV-MA,NULL
30,Survivor,7.4 (24k),Reality TV ,48min,TV-PG,NULL
31,Billy the Kid,7.0 (2k),"Western , Drama , Romance ",50min,TV-MA,NULL
32,American Gods,7.7 (84k),"Drama , Science-Fiction , Fantasy ",54min,TV-MA,NULL
33,Annika,6.9 (3k),"Drama , Crime ",47min,TV-14,NULL
34,The Outlaws,7.6 (8k),"Drama , Comedy , Crime , Mystery & Thriller ",58min,TV-MA,NULL
