,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,Doctor Strange in the Multiverse of Madness,7.3 (220k),"Action & Adventure , Fantasy , Horror , Science-Fiction ",2h 7min,PG-13,Sam Raimi 
1,Chip 'n Dale: Rescue Rangers,7.0 (29k),"Animation , Crime , Comedy , Kids & Family , Action & Adventure , Fantasy ",1h 37min,PG,Akiva Schaffer 
2,Willow,7.2 (111k),"Fantasy , Romance , Action & Adventure , Drama ",2h 5min,PG,Ron Howard 
3,Free Guy,7.1 (345k),"Science-Fiction , Comedy , Fantasy , Action & Adventure ",1h 54min,PG-13,Shawn Levy 
4,Pirates of the Caribbean: The Curse of the Black Pearl,8.1 (1m),"Fantasy , Action & Adventure ",2h 17min,PG-13,Gore Verbinski 
5,The Sandlot,7.8 (89k),"Comedy , Drama , Kids & Family , Sport ",1h 41min,PG,David Mickey Evans 
6,The Princess Bride,8.0 (421k),"Fantasy , Romance , Kids & Family ",1h 39min,PG,Rob Reiner 
7,Avatar,7.8 (1m),"Fantasy , Action & Adventure , Science-Fiction ",2h 46min,PG-13,James Cameron 
8,Hidden Figures,7.8 (224k),"Drama , History ",2h 7min,PG,Theodore Melfi 
9,Who Framed Roger Rabbit,7.7 (197k),"Fantasy , Animation , Comedy , Crime , Kids & Family ",1h 44min,PG,Robert Zemeckis 
10,West Side Story,7.2 (74k),"Crime , Romance , Drama ",2h 37min,PG-13,Steven Spielberg 
11,The Greatest Showman,7.5 (273k),Drama ,1h 45min,PG,Michael Gracey 
12,Fantastic Mr. Fox,7.9 (225k),"Comedy , Kids & Family , Animation , Crime , Drama ",1h 27min,PG,Wes Anderson 
13,10 Things I Hate About You,7.3 (331k),"Romance , Comedy , Drama ",1h 37min,PG-13,Gil Junger 
14,Edward Scissorhands,7.9 (480k),"Fantasy , Drama , Romance ",1h 41min,PG-13,Tim Burton 
15,Doctor Strange,7.5 (714k),"Science-Fiction , Action & Adventure , Fantasy ",2h 10min,PG-13,Scott Derrickson 
16,We Feed People,7.5,Documentary ,1h 29min,NULL,Ron Howard 
17,The Greatest Game Ever Played,7.4 (30k),"Drama , Sport , History ",2h 0min,PG,Bill Paxton 
18,Turning Red,7.0 (101k),"Comedy , Fantasy , Kids & Family , Animation ",1h 40min,PG,Domee Shi 
19,National Treasure,6.9 (326k),"Mystery & Thriller , Action & Adventure , Western , Kids & Family ",2h 11min,PG,Jon Turteltaub 
20,The Sound of Music,8.1 (227k),"Romance , Drama , Kids & Family ",2h 47min,G,Robert Wise 
21,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",8.0 (10k),"History , Documentary , Music & Musical ",1h 57min,PG-13,Questlove 
22,Eternals,6.3 (313k),"Science-Fiction , Fantasy , Drama , Action & Adventure ",2h 36min,PG-13,Chloé Zhao 
23,Star Wars,8.6 (1m),"Action & Adventure , Fantasy , Science-Fiction ",2h 1min,PG,George Lucas 
24,Free Solo,8.1 (65k),"Documentary , Action & Adventure , Sport ",1h 40min,PG-13,Jimmy Chin 
25,The Rescue,8.4 (9k),"Documentary , Action & Adventure , Mystery & Thriller , Drama ",1h 47min,PG,Jimmy Chin 
26,Encanto,7.2 (202k),"Animation , Comedy , Kids & Family , Fantasy , Drama ",1h 42min,PG,Byron Howard 
27,Beyond Infinity: Buzz and the Journey to Lightyear,NULL,NULL,NULL,NULL,NULL
28,TRON: Legacy,6.8 (332k),"Science-Fiction , Action & Adventure , Fantasy , Made in Europe ",2h 6min,PG,Joseph Kosinski 
29,Isle of Dogs,7.8 (164k),"Action & Adventure , Comedy , Animation , Fantasy , Drama , Science-Fiction , Made in Europe ",1h 41min,PG-13,Wes Anderson 
30,Shang-Chi and the Legend of the Ten Rings,7.5 (324k),"Action & Adventure , Fantasy , Documentary , Science-Fiction , Comedy ",2h 13min,PG-13,Destin Daniel Cretton 
31,Guardians of the Galaxy,8.0 (1m),"Science-Fiction , Action & Adventure , Comedy ",2h 1min,PG-13,James Gunn 
32,Night at the Museum,6.4 (340k),"Comedy , Fantasy , Kids & Family ",1h 48min,PG,Shawn Levy 
33,Adventures in Babysitting,6.9 (43k),"Comedy , Crime , Romance ",1h 42min,PG-13,Chris Columbus 
34,Black Widow,6.7 (336k),"Science-Fiction , Action & Adventure ",2h 13min,PG-13,Cate Shortland 
35,Holes,7.0 (87k),"Drama , Comedy , Kids & Family ",1h 57min,PG,Andrew Davis 
36,Jungle Cruise,6.6 (179k),"Fantasy , Comedy , Kids & Family , Action & Adventure ",2h 7min,PG-13,Jaume Collet-Serra 
37,Pirates of the Caribbean: Dead Man's Chest,7.3 (704k),"Fantasy , Action & Adventure ",2h 24min,PG-13,Gore Verbinski 
38,Percy Jackson & the Olympians: The Lightning Thief,5.8 (187k),"Fantasy , Kids & Family ",1h 58min,PG,Chris Columbus 
39,Rookie of the Year,6.0 (28k),"Comedy , Fantasy , Sport , Kids & Family ",1h 43min,PG,Daniel Stern 
40,Ron's Gone Wrong,7.0 (31k),"Kids & Family , Comedy , Animation , Science-Fiction ",1h 46min,PG,Sarah Smith 
41,Thor: Ragnarok,7.9 (707k),"Science-Fiction , Comedy , Fantasy , Action & Adventure ",2h 11min,PG-13,Taika Waititi 
42,Remember the Titans,7.8 (212k),"Drama , Sport ",1h 59min,PG,Boaz Yakin 
43,Hamilton,8.4 (83k),"Drama , Music & Musical , History ",2h 40min,PG-13,Thomas Kail 
44,X-Men,7.4 (598k),"Action & Adventure , Science-Fiction , Made in Europe ",1h 44min,PG-13,Bryan Singer 
45,Zootopia,8.0 (474k),"Comedy , Crime , Animation , Action & Adventure , Kids & Family ",1h 48min,PG,Byron Howard 
46,The Parent Trap,6.6 (134k),"Comedy , Kids & Family , Romance , Drama ",2h 8min,PG,Nancy Meyers 
47,Into the Woods,5.9 (140k),"Fantasy , Comedy , Drama ",2h 4min,PG,Rob Marshall 
48,Homeward Bound: The Incredible Journey,6.9 (46k),"Drama , Kids & Family , Comedy ",1h 24min,G,Duwayne Dunham 
49,Pirates of the Caribbean: Dead Men Tell No Tales,6.5 (302k),"Fantasy , Action & Adventure ",2h 33min,PG-13,Espen Sandberg 
50,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9 (392k),"Action & Adventure , Kids & Family , Fantasy , Documentary ",2h 21min,PG,Andrew Adamson 
51,WALL·E,8.4 (1m),"Science-Fiction , Animation , Kids & Family , Fantasy , Romance ",1h 44min,G,Andrew Stanton 
52,Pirates of the Caribbean: On Stranger Tides,6.6 (518k),"Fantasy , Action & Adventure ",2h 21min,PG-13,Rob Marshall 
53,Return to Oz,6.7 (27k),"Fantasy , Horror , Kids & Family ",1h 49min,PG,Walter Murch 
54,The Princess Diaries,6.3 (142k),"Comedy , Romance , Kids & Family ",1h 55min,G,Garry Marshall 
55,Flight of the Navigator,6.9 (47k),"Science-Fiction , Comedy , Kids & Family ",1h 30min,PG,Randal Kleiser 
56,Heavyweights,6.6 (27k),"Comedy , Drama , Kids & Family , Sport ",1h 37min,PG,Steven Brill 
57,Inside Out,8.2 (692k),"Comedy , Drama , Kids & Family , Fantasy , Science-Fiction , Animation ",1h 35min,PG,Pete Docter 
58,The Straight Story,8.0 (89k),Drama ,1h 52min,G,David Lynch 
59,Hollywood Stargirl,5.6,"Romance , Comedy , Drama , Kids & Family ",1h 45min,PG,Julia Hart 
60,Avengers: Endgame,8.4 (1m),"Science-Fiction , Drama , Fantasy , Action & Adventure ",3h 2min,PG-13,Anthony Russo 
61,Alice in Wonderland,6.4 (409k),"Fantasy , Kids & Family ",1h 50min,PG,Tim Burton 
62,Rise,NULL,NULL,NULL,NULL,NULL
63,Cruella,7.3 (223k),"Crime , Action & Adventure , Comedy , Drama ",2h 14min,PG-13,Craig Gillespie 
64,Iron Man,7.9 (1m),"Science-Fiction , Action & Adventure ",2h 6min,PG-13,Jon Favreau 
65,The Rocketeer,6.5 (57k),"Science-Fiction , Action & Adventure , Kids & Family ",1h 48min,PG,Joe Johnston 
66,While You Were Sleeping,6.7 (101k),"Romance , Comedy , Drama ",1h 43min,PG,Jon Turteltaub 
67,Splash,6.3 (76k),"Romance , Fantasy , Comedy ",1h 51min,PG,Ron Howard 
68,Star Wars: Episode I - The Phantom Menace,6.5 (787k),"Science-Fiction , Action & Adventure , Fantasy ",2h 16min,PG,George Lucas 
69,Miss Peregrine's Home for Peculiar Children,6.7 (169k),"Fantasy , Kids & Family , Mystery & Thriller , Drama , Made in Europe ",2h 7min,PG-13,Tim Burton 
70,Fantastic Four,4.3 (164k),"Science-Fiction , Action & Adventure , Drama ",1h 40min,PG-13,Simon Kinberg 
