,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,Obi-Wan Kenobi,7.2 (84k),"Action & Adventure , Science-Fiction ",44min,TV-14,NULL
1,Ms. Marvel,6.1 (40k),"Science-Fiction , Action & Adventure , Crime , Drama , Comedy , Kids & Family , Fantasy ",49min,TV-14,NULL
2,Moon Knight,7.4 (176k),"Science-Fiction , Action & Adventure , Horror , Mystery & Thriller , Drama , Fantasy ",48min,TV-14,NULL
3,The Beatles: Get Back,9.0 (19k),"Music & Musical , Documentary ",2h 36min,NULL,NULL
4,Glee,6.8 (146k),"Comedy , Drama , Music & Musical ",49min,TV-14,NULL
5,Bluey,9.7 (7k),"Kids & Family , Animation ",7min,TV-Y,NULL
6,The Simpsons,8.7 (397k),"Animation , Comedy ",27min,TV-14,NULL
7,The Mandalorian,8.7 (437k),"Action & Adventure , Drama , Science-Fiction , Fantasy ",40min,TV-14,NULL
8,"Love, Victor",8.0 (15k),"Comedy , Drama , Romance ",28min,TV-14,NULL
9,The Owl House,8.2 (9k),"Science-Fiction , Fantasy , Horror , Animation , Action & Adventure , Comedy , Drama , Kids & Family , Mystery & Thriller ",24min,NULL,NULL
10,Gravity Falls,8.3 (2k),"Comedy , Science-Fiction , Fantasy , Animation , Kids & Family , Drama , Horror , Action & Adventure , Mystery & Thriller ",23min,TV-Y7,NULL
11,The Book of Boba Fett,7.4 (128k),"Romance , Western , Kids & Family , Action & Adventure , Science-Fiction , Fantasy ",47min,TV-14,NULL
12,Alias,7.6 (49k),"Action & Adventure , Crime , Drama , Science-Fiction , Mystery & Thriller ",44min,TV-14,NULL
13,Marvel's Daredevil,8.6 (423k),"Action & Adventure , Science-Fiction , Mystery & Thriller , Crime , Drama , Fantasy ",53min,TV-MA,NULL
14,WandaVision,7.9 (296k),"Science-Fiction , Action & Adventure , Comedy , Drama , Fantasy , Romance ",39min,TV-14,NULL
15,Marvel's The Punisher,8.5 (223k),"Action & Adventure , Crime , Drama , Mystery & Thriller , Science-Fiction ",53min,TV-MA,NULL
16,Loki,8.2 (288k),"Science-Fiction , Action & Adventure , Fantasy ",48min,TV-14,NULL
17,Cosmos,NULL,NULL,NULL,NULL,NULL
18,Star Wars: The Clone Wars,8.4 (89k),"Action & Adventure , Science-Fiction , Drama , Fantasy , Animation ",23min,TV-PG,NULL
19,Star Wars: Clone Wars,7.8 (25k),"Science-Fiction , Action & Adventure , Fantasy , Animation , Drama , Kids & Family ",10min,TV-PG,NULL
20,Once Upon a Time,7.7 (221k),"Science-Fiction , Drama , Fantasy , Romance ",43min,TV-PG,NULL
21,8 Simple Rules... for Dating My Teenage Daughter,7.0 (25k),"Drama , Comedy ",22min,TV-PG,NULL
