,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,The Worst Person in the World,7.9 (19k),"Drama , Comedy , Romance ",2h 8min,R,Joachim Trier 
1,"Good Luck to You, Leo Grande",7.1 (3k),"Romance , Comedy , Drama ",1h 37min,R,Sophie Hyde 
2,Fire Island,6.7 (5k),"Comedy , Romance ",1h 45min,R,Andrew Ahn 
3,Death on the Nile,6.6 (18k),"Mystery & Thriller , Crime , Drama ",2h 7min,PG-13,Kenneth Branagh 
4,American Underdog,7.1 (11k),"Drama , Sport ",1h 52min,PG,Andrew Erwin 
5,The Fifth Element,7.6 (466k),"Fantasy , Mystery & Thriller , Action & Adventure , Science-Fiction , Made in Europe ",2h 6min,PG-13,Luc Besson 
6,Alien,8.5 (858k),"Science-Fiction , Horror ",1h 57min,R,Ridley Scott 
7,Drag Me to Hell,6.6 (201k),"Mystery & Thriller , Horror , Action & Adventure ",1h 39min,PG-13,Sam Raimi 
8,Bridesmaids,6.8 (288k),"Comedy , Romance ",2h 4min,R,Paul Feig 
9,Dazed and Confused,7.6 (180k),"Drama , Comedy ",1h 35min,R,Richard Linklater 
10,The Devil Wears Prada,6.9 (408k),"Drama , Music & Musical , Comedy ",1h 44min,PG-13,David Frankel 
11,Pig,6.9 (66k),"Mystery & Thriller , Drama ",1h 31min,R,Michael Sarnoski 
12,Predator,7.8 (402k),"Mystery & Thriller , Action & Adventure , Horror , Science-Fiction ",1h 47min,R,John McTiernan 
13,Hustlers,6.3 (97k),"Drama , Comedy , Mystery & Thriller , Crime ",1h 50min,R,Lorene Scafaria 
14,Nightmare Alley,7.0 (127k),"Mystery & Thriller , Action & Adventure , Crime , Drama , Fantasy , Horror ",2h 30min,R,Guillermo del Toro 
15,Aliens,8.4 (702k),"Mystery & Thriller , Horror , Science-Fiction , Action & Adventure ",2h 17min,R,James Cameron 
16,Prisoners,8.1 (683k),"Crime , Mystery & Thriller , Drama ",2h 33min,R,Denis Villeneuve 
17,Parasite,8.5 (752k),"Mystery & Thriller , Drama , Horror , Comedy ",2h 12min,R,Bong Joon-ho 
18,Moneyball,7.6 (412k),"Drama , Sport ",2h 7min,PG-13,Bennett Miller 
19,Eyes Wide Shut,7.5 (331k),"Mystery & Thriller , Drama ",2h 39min,R,Stanley Kubrick 
20,The King's Man,6.4 (60k),"Mystery & Thriller , Documentary , Crime , Comedy , Action & Adventure ",2h 11min,R,Matthew Vaughn 
21,The Valet,6.7 (8k),"Romance , Comedy ",2h 4min,PG-13,Richard Wong 
22,Titane,6.6 (40k),"Drama , Horror , Science-Fiction , Mystery & Thriller ",1h 48min,R,Julia Ducournau 
23,Walk Hard: The Dewey Cox Story,6.8 (72k),"Drama , Comedy , Music & Musical ",1h 36min,R,Jake Kasdan 
24,Prometheus,7.0 (600k),"Science-Fiction , Action & Adventure ",2h 4min,R,Ridley Scott 
25,Margin Call,7.1 (128k),"Drama , Mystery & Thriller ",1h 47min,R,J.C. Chandor 
26,Hot Fuzz,7.8 (497k),"Comedy , Action & Adventure , Mystery & Thriller , Made in Europe ",2h 1min,R,Edgar Wright 
27,The Requin,2.6 (4k),"Horror , Mystery & Thriller ",1h 29min,R,Lê Văn Kiệt 
28,Knowing,6.2 (232k),"Mystery & Thriller , Science-Fiction , Drama , Action & Adventure ",2h 1min,PG-13,Alex Proyas 
29,Napoleon Dynamite,6.9 (215k),Comedy ,1h 35min,PG,Jared Hess 
30,Fresh,6.7 (41k),"Mystery & Thriller , Horror , Comedy ",1h 54min,R,Mimi Cave 
31,The Breakfast Club,7.8 (387k),"Drama , Comedy ",1h 38min,R,John Hughes 
32,Black Swan,8.0 (748k),"Drama , Mystery & Thriller , Horror ",1h 48min,R,Darren Aronofsky 
33,La La Land,8.0 (567k),"Romance , Drama , Music & Musical , Comedy ",2h 7min,PG-13,Damien Chazelle 
34,Dead Poets Society,8.1 (474k),"Drama , Comedy ",2h 8min,PG,Peter Weir 
35,Léon: The Professional,8.5 (1m),"Crime , Action & Adventure , Drama , Mystery & Thriller , Made in Europe ",1h 51min,R,Luc Besson 
