,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,The Old Man,8.5 (2k),"Action & Adventure , Drama , Mystery & Thriller ",1h 1min,TV-MA,NULL
1,Under the Banner of Heaven,7.6 (7k),"Drama , Crime , Mystery & Thriller ",1h 7min,TV-MA,NULL
2,The Orville,8.0 (67k),"Science-Fiction , Comedy , Drama ",47min,TV-14,NULL
3,Alone,8.4 (4k),"Reality TV , Documentary ",49min,TV-MA,NULL
4,The Bear,NULL,NULL,NULL,NULL,NULL
5,Killing Eve,8.2 (114k),"Drama , Action & Adventure , Mystery & Thriller ",42min,TV-14,NULL
6,Only Murders in the Building,8.1 (69k),"Crime , Drama , Mystery & Thriller , Comedy ",32min,TV-MA,NULL
7,Pistol,7.6 (2k),"Drama , Music & Musical ",52min,TV-MA,NULL
8,Bob's Burgers,8.2 (77k),"Comedy , Animation ",22min,TV-14,NULL
9,Criminal Minds,8.1 (190k),"Drama , Mystery & Thriller , Crime ",44min,TV-14,NULL
10,Candy,7.2 (6k),"Crime , Drama , Mystery & Thriller ",51min,TV-MA,NULL
11,Modern Family,8.5 (413k),"Comedy , Drama , Romance ",21min,TV-PG,NULL
12,This Is Us,8.7 (137k),"Drama , Comedy , Romance ",43min,TV-14,NULL
13,The X-Files,8.6 (219k),"Science-Fiction , Crime , Drama , Mystery & Thriller ",45min,TV-14,NULL
14,It's Always Sunny in Philadelphia,8.8 (218k),Comedy ,23min,TV-MA,NULL
15,What We Do in the Shadows,8.6 (66k),"Comedy , Fantasy , Horror ",24min,TV-MA,NULL
16,Lost,8.4 (539k),"Action & Adventure , Mystery & Thriller , Drama , Fantasy , Science-Fiction ",44min,TV-14,NULL
17,Shoresy,8.6 (2k),"Comedy , Sport , Drama ",24min,TV-MA,NULL
18,SPY x FAMILY,8.9 (10k),"Action & Adventure , Animation , Comedy , Drama , Mystery & Thriller ",24min,TV-14,NULL
19,Cheers,7.9 (53k),"Comedy , Drama ",30min,TV-PG,NULL
