,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,Hustle,7.4 (50k),"Comedy , Drama , Sport ",1h 57min,R,Jeremiah Zagar 
1,RRR,8.1 (78k),"Action & Adventure , Drama ",3h 7min,R,S. S. Rajamouli 
2,Spiderhead,5.4 (15k),"Science-Fiction , Mystery & Thriller , Action & Adventure , Crime , Drama ",1h 47min,R,Joseph Kosinski 
3,Sing 2,7.4 (51k),"Animation , Drama , Fantasy , Music & Musical , Comedy , Kids & Family ",1h 50min,PG,Garth Jennings 
4,Mission: Impossible,7.1 (417k),"Mystery & Thriller , Action & Adventure ",1h 50min,PG-13,Brian De Palma 
5,Operation Mincemeat,6.6 (15k),"Drama , War & Military ",2h 7min,PG-13,John Madden 
6,The Amazing Spider-Man,6.9 (642k),"Fantasy , Science-Fiction , Action & Adventure ",2h 16min,PG-13,Marc Webb 
7,The Gentlemen,7.8 (321k),"Comedy , Action & Adventure , Crime ",1h 53min,R,Guy Ritchie 
8,Mission: Impossible - Ghost Protocol,7.4 (483k),"Mystery & Thriller , Action & Adventure ",2h 13min,PG-13,Brad Bird 
9,Interceptor,4.4 (16k),"Mystery & Thriller , Drama , Action & Adventure ",1h 38min,PG-13,Matthew Reilly 
10,Saving Private Ryan,8.6 (1m),"Drama , War & Military ",2h 50min,R,Steven Spielberg 
11,Anchorman: The Legend of Ron Burgundy,7.1 (351k),Comedy ,1h 34min,PG-13,Adam McKay 
12,Mission: Impossible II,6.1 (336k),"Mystery & Thriller , Action & Adventure ",2h 3min,PG-13,John Woo 
13,Norm Macdonald: Nothing Special,7.9,"Comedy , Documentary ",1h 27min,R,Jeff Tomsic 
14,Ricky Gervais: SuperNature,7.8 (3k),Comedy ,1h 4min,NULL,John L. Spencer 
15,Paddington,7.2 (112k),"Comedy , Kids & Family , Fantasy , Animation , Made in Europe ",1h 36min,PG,Paul King 
16,Titanic,7.9 (1m),"Drama , Romance ",3h 14min,PG-13,James Cameron 
17,Casino Royale,8.0 (646k),"Mystery & Thriller , Action & Adventure , Made in Europe ",2h 15min,NULL,Martin Campbell 
18,The Departed,8.5 (1m),"Mystery & Thriller , Action & Adventure , Crime , Drama ",2h 31min,R,Martin Scorsese 
19,Identity,7.3 (240k),Mystery & Thriller ,1h 30min,R,James Mangold 
20,The Mist,7.1 (300k),"Horror , Science-Fiction , Mystery & Thriller ",2h 6min,R,Frank Darabont 
21,Margin Call,7.1 (127k),"Drama , Mystery & Thriller ",1h 47min,R,J.C. Chandor 
22,Forrest Gump,8.8 (2m),"Romance , Drama ",2h 22min,PG-13,Robert Zemeckis 
23,The Adam Project,6.7 (174k),"Action & Adventure , Comedy , Science-Fiction , Drama , Fantasy ",1h 46min,PG-13,Shawn Levy 
24,Blade Runner 2049,8.0 (545k),"Science-Fiction , Drama , Mystery & Thriller , Action & Adventure ",2h 44min,R,Denis Villeneuve 
25,It,7.3 (520k),"Horror , Fantasy , Mystery & Thriller ",2h 15min,R,Andy Muschietti 
26,War of the Worlds,6.5 (441k),"Mystery & Thriller , Action & Adventure , Science-Fiction ",1h 57min,PG-13,Steven Spielberg 
27,Happy Gilmore,7.0 (219k),"Comedy , Sport ",1h 32min,PG-13,Dennis Dugan 
28,Jackass 4.5,NULL,NULL,NULL,NULL,NULL
29,Senior Year,5.5 (31k),"Comedy , Drama ",1h 52min,R,Alex Hardcastle 
30,When Harry Met Sally...,7.7 (214k),"Drama , Romance , Comedy ",1h 36min,R,Rob Reiner 
31,Léon: The Professional,8.5 (1m),"Crime , Drama , Mystery & Thriller , Action & Adventure , Made in Europe ",1h 51min,R,Luc Besson 
32,Inception,8.8 (2m),"Science-Fiction , Music & Musical , Action & Adventure , Mystery & Thriller ",2h 28min,PG-13,Christopher Nolan 
33,Stand by Me,8.1 (394k),Drama ,1h 28min,R,Rob Reiner 
34,Hell or High Water,7.6 (226k),"Drama , Western , Action & Adventure , Crime , Mystery & Thriller ",1h 42min,R,David Mackenzie 
35,Taxi Driver,8.2 (802k),"Drama , Crime ",1h 53min,R,Martin Scorsese 
36,Forgetting Sarah Marshall,7.1 (281k),"Comedy , Drama , Romance ",1h 51min,R,Nicholas Stoller 
37,Vice,7.2 (139k),"Drama , Comedy , Documentary ",2h 12min,R,Adam McKay 
38,Dunkirk,7.8 (619k),"Action & Adventure , Drama , History , Mystery & Thriller , War & Military , Made in Europe ",1h 46min,PG-13,Christopher Nolan 
39,Once Upon a Time in America,8.3 (344k),"Drama , Crime , Made in Europe ",3h 49min,R,Sergio Leone 
40,The Hurt Locker,7.5 (445k),"Drama , Mystery & Thriller , War & Military ",2h 11min,R,Kathryn Bigelow 
41,Disappearance at Clifton Hill,5.4 (3k),"Mystery & Thriller , Drama ",1h 40min,NULL,Albert Shin 
42,Starship Troopers,7.3 (290k),"Mystery & Thriller , Science-Fiction , Action & Adventure ",2h 9min,R,Paul Verhoeven 
43,Dumb and Dumber,7.3 (378k),Comedy ,1h 47min,PG-13,Peter Farrelly 
44,The Other Guys,6.6 (264k),"Comedy , Crime , Action & Adventure ",1h 47min,NULL,Adam McKay 
45,Charlie and the Chocolate Factory,6.7 (470k),"Fantasy , Comedy , Kids & Family ",1h 55min,PG,Tim Burton 
46,Wind River,7.7 (242k),"Mystery & Thriller , Crime , Drama , Western ",1h 47min,R,Taylor Sheridan 
47,The Quick and the Dead,6.5 (93k),"Western , Action & Adventure , Mystery & Thriller , Romance ",1h 47min,R,Sam Raimi 
48,Hunt for the Wilderpeople,7.8 (126k),"Drama , Comedy ",1h 41min,PG-13,Taika Waititi 
49,Forgotten,7.4 (30k),"Horror , Mystery & Thriller , Science-Fiction ",1h 49min,NULL,Jang Hang-jun 
50,Full Metal Jacket,8.3 (726k),"Drama , War & Military ",1h 56min,R,Stanley Kubrick 
51,Django Unchained,8.4 (1m),"Western , Drama ",2h 45min,R,Quentin Tarantino 
52,Her,8.0 (595k),"Science-Fiction , Drama , Romance ",2h 6min,R,Spike Jonze 
53,"Crazy, Stupid, Love.",7.4 (507k),"Romance , Drama , Comedy ",1h 58min,PG-13,John Requa 
54,How to Train Your Dragon,8.1 (723k),"Fantasy , Animation , Action & Adventure , Comedy , Kids & Family , Drama ",1h 38min,PG,Chris Sanders 
55,The Power of the Dog,6.8 (162k),"Romance , Western , Drama ",2h 6min,R,Jane Campion 
56,Steel Magnolias,7.3 (54k),"Drama , Romance , Comedy ",1h 57min,PG,Herbert Ross 
57,Killing Them Softly,6.2 (142k),"Mystery & Thriller , Crime , Drama ",1h 37min,R,Andrew Dominik 
58,Quantum of Solace,6.6 (442k),"Mystery & Thriller , Action & Adventure ",1h 46min,PG-13,Marc Forster 
59,Blow,7.5 (257k),"Crime , Drama ",2h 3min,R,Ted Demme 
60,Troy,7.3 (525k),"Action & Adventure , History , War & Military , Drama , Made in Europe ",2h 43min,R,Wolfgang Petersen 
61,Monty Python and the Holy Grail,8.2 (532k),"Fantasy , Comedy ",1h 31min,PG,Terry Jones 
62,It Follows,6.8 (234k),"Horror , Mystery & Thriller ",1h 40min,R,David Robert Mitchell 
63,A Nightmare on Elm Street,7.4 (232k),Horror ,1h 31min,R,Wes Craven 
64,Gattaca,7.8 (299k),"Mystery & Thriller , Drama , Science-Fiction ",1h 46min,PG-13,Andrew Niccol 
65,Windfall,5.7 (20k),"Crime , Drama , Mystery & Thriller ",1h 32min,R,Charlie McDowell 
66,The Imitation Game,8.0 (752k),"War & Military , History , Drama , Mystery & Thriller ",1h 53min,PG-13,Morten Tyldum 
67,"tick, tick... BOOM!",7.5 (98k),Drama ,2h 0min,PG-13,Lin-Manuel Miranda 
68,Jennifer Lopez:  Halftime,6.5 (2k),"Documentary , Music & Musical ",1h 35min,NULL,Amanda Micheli 
69,Don't Look Up,7.2 (508k),"Science-Fiction , Comedy , Drama ",2h 18min,R,Adam McKay 
70,Nightcrawler,7.8 (527k),"Mystery & Thriller , Crime , Drama ",1h 57min,R,Dan Gilroy 
71,Our Father,6.5 (8k),"Crime , Documentary ",1h 37min,NULL,Lucie Jourdan 
72,Sorry to Bother You,6.9 (75k),"Fantasy , Science-Fiction , Drama , Comedy ",1h 51min,R,Boots Riley 
73,Michael Clayton,7.2 (164k),"Mystery & Thriller , Drama , Crime ",1h 59min,R,Tony Gilroy 
74,Road to Perdition,7.7 (264k),"Mystery & Thriller , Documentary , Crime , Drama ",1h 57min,R,Sam Mendes 
75,Into the Wild,8.1 (613k),Drama ,2h 20min,R,Sean Penn 
76,The Exorcist,8.1 (394k),Horror ,2h 2min,R,William Friedkin 
77,Phantom Thread,7.4 (129k),"Romance , Drama ",2h 10min,R,Paul Thomas Anderson 
78,Donnie Brasco,7.7 (302k),"Mystery & Thriller , Crime , Drama ",2h 7min,R,Mike Newell 
79,Looper,7.4 (568k),"Mystery & Thriller , Documentary , Action & Adventure , Drama , Science-Fiction , Crime ",1h 59min,R,Rian Johnson 
80,The Boy,6.0 (90k),"Mystery & Thriller , Horror ",1h 37min,PG-13,William Brent Bell 
81,Den of Thieves,7.0 (108k),"Mystery & Thriller , Action & Adventure , Crime , Drama ",2h 20min,R,Christian Gudegast 
82,The Mitchells vs. the Machines,7.6 (102k),"Animation , Action & Adventure , Comedy , Kids & Family , Science-Fiction ",1h 50min,PG,Michael Rianda 
83,The Last Samurai,7.8 (431k),"Drama , History , Action & Adventure , War & Military ",2h 34min,R,Edward Zwick 
84,Won't You Be My Neighbor?,8.4 (25k),Documentary ,1h 35min,PG-13,Morgan Neville 
85,Les Misérables,7.5 (325k),"Drama , War & Military , Romance , History ",2h 38min,PG-13,Tom Hooper 
86,Midnight in Paris,7.7 (415k),"Fantasy , Comedy , Romance ",1h 34min,PG-13,Woody Allen 
87,You've Got Mail,6.7 (210k),"Romance , Comedy , Drama ",1h 59min,PG,Nora Ephron 
88,Nocturnal Animals,7.5 (264k),"Mystery & Thriller , Drama ",1h 56min,R,Tom Ford 
89,Kung Fu Panda 2,7.2 (278k),"Kids & Family , Animation , Drama , Action & Adventure , Comedy , Fantasy ",1h 31min,PG,Jennifer Yuh Nelson 
90,Red Notice,6.3 (260k),"Comedy , Mystery & Thriller , Crime , Action & Adventure ",1h 57min,PG-13,Rawson Marshall Thurber 
91,Rush,8.1 (470k),"Drama , Action & Adventure , Sport , Made in Europe ",2h 3min,R,Ron Howard 
92,Jackass: The Movie,6.6 (93k),"Comedy , Documentary , Action & Adventure ",1h 28min,R,Jeff Tremaine 
93,True Grit,7.6 (334k),"Western , Drama ",1h 50min,PG-13,Ethan Coen 
94,The Social Network,7.8 (685k),Drama ,2h 0min,PG-13,David Fincher 
95,Love Actually,7.6 (475k),"Drama , Comedy , Romance ",2h 14min,R,Richard Curtis 
96,Big Fish,8.0 (436k),"Fantasy , Drama , Romance ",2h 5min,PG-13,Tim Burton 
97,The Girl Next Door,6.7 (222k),"Comedy , Romance , Drama ",1h 40min,NULL,Luke Greenfield 
98,Raw,7.0 (72k),"Drama , Horror , Fantasy , Made in Europe ",1h 39min,R,Julia Ducournau 
99,War Dogs,7.1 (209k),"Crime , Drama , War & Military , Comedy ",1h 54min,R,Todd Phillips 
100,The Gift,7.0 (154k),"Mystery & Thriller , Documentary , Drama ",1h 48min,R,NULL
101,I'm Thinking of Ending Things,6.6 (81k),"Fantasy , Mystery & Thriller , Drama ",2h 14min,R,Charlie Kaufman 
102,Legend,6.9 (176k),"Crime , Mystery & Thriller , Drama , Made in Europe ",2h 11min,R,Brian Helgeland 
103,The House,6.8 (13k),"Animation , Horror , Fantasy , Comedy , Drama , Mystery & Thriller ",1h 37min,R,Paloma Baeza 
104,Oldboy,5.7 (75k),"Mystery & Thriller , Action & Adventure , Drama ",1h 44min,R,Spike Lee 
105,Contagion,6.8 (300k),"Mystery & Thriller , Science-Fiction , Action & Adventure , Drama ",1h 46min,PG-13,Steven Soderbergh 
106,Argo,7.7 (600k),"Mystery & Thriller , Drama ",2h 0min,R,Ben Affleck 
107,The Bubble,4.7 (21k),Comedy ,2h 6min,R,Judd Apatow 
108,Molly's Game,7.4 (165k),"Drama , Sport , Crime ",2h 19min,R,Aaron Sorkin 
109,The Lost Daughter,6.7 (58k),Drama ,2h 2min,R,Maggie Gyllenhaal 
110,Public Enemies,7.0 (299k),"Crime , Action & Adventure , Drama , History , Made in Europe ",2h 20min,R,Michael Mann 
111,The Girl with the Dragon Tattoo,7.8 (456k),"Crime , Mystery & Thriller , Drama ",2h 38min,R,David Fincher 
112,Blade Runner: The Final Cut,NULL,NULL,NULL,NULL,NULL
113,The Ring,7.1 (343k),"Horror , Made in Europe ",1h 55min,PG-13,Gore Verbinski 
114,Brahms: The Boy II,4.7 (16k),"Mystery & Thriller , Drama , Horror ",1h 26min,PG-13,William Brent Bell 
115,The Hateful Eight,7.8 (570k),"Western , Crime , Drama , Mystery & Thriller ",3h 8min,R,Quentin Tarantino 
116,A Perfect Pairing,6.1 (8k),"Comedy , Romance ",1h 41min,NULL,Stuart McDonald 
117,Apollo 10½:  A Space Age Childhood,7.3 (4k),"Science-Fiction , Horror , Drama , Comedy , Kids & Family , Romance , Animation , Action & Adventure ",1h 38min,PG-13,Richard Linklater 
118,"Girl, Interrupted",7.3 (181k),"Drama , Made in Europe ",2h 7min,R,James Mangold 
119,The Colony,5.3 (7k),"Science-Fiction , Action & Adventure , Mystery & Thriller ",1h 44min,R,Tim Fehlbaum 
120,Apocalypse Now Redux,NULL,NULL,NULL,NULL,NULL
121,Vegas Vacation,5.9 (49k),Comedy ,1h 35min,PG,Stephen Kessler 
122,Eraser,6.1 (110k),"Mystery & Thriller , Action & Adventure , Crime , Drama ",1h 55min,R,Chuck Russell 
123,Grown Ups,5.9 (248k),"Comedy , Drama , Made in Europe ",1h 42min,PG-13,Dennis Dugan 
124,My Fair Lady,7.8 (94k),"Drama , Kids & Family , Romance ",2h 50min,G,George Cukor 
125,The Wrath of God,5.7 (1k),"Drama , Mystery & Thriller ",1h 38min,NULL,Sebastián Schindel 
126,The Invisible Guest,8.0 (171k),"Drama , Mystery & Thriller , Crime , Made in Europe ",1h 47min,R,Oriol Paulo 
127,The Conjuring,7.5 (493k),"Horror , Mystery & Thriller ",1h 51min,R,James Wan 
128,The Fighter,NULL,NULL,NULL,NULL,NULL
129,Lunana: A Yak in the Classroom,7.4 (2k),"Drama , Kids & Family ",1h 49min,NULL,Pawo Choyning Dorji 
130,Synchronic,6.2 (28k),"Science-Fiction , Mystery & Thriller , Drama , Horror ",1h 42min,R,Aaron Moorhead 
131,Annie,6.6 (45k),"Drama , Comedy , Kids & Family ",2h 7min,PG,John Huston 
132,Metal Lords,6.7 (23k),"Drama , Comedy , Music & Musical ",1h 37min,R,Peter Sollett 
133,Shrek Forever After,6.3 (201k),"Fantasy , Comedy , Kids & Family , Romance , Animation ",1h 33min,PG,Mike Mitchell 
134,Straight Up,6.8 (2k),"Comedy , Romance ",1h 35min,NULL,James Sweeney 
135,Bill Burr Presents: Friends Who Kill,4.4,"Comedy , Documentary ",1h 13min,PG-13,Ryan Polito 
136,Bāhubali: The Beginning,8.0 (118k),"Action & Adventure , Drama , Fantasy ",2h 18min,PG-13,S. S. Rajamouli 
137,Pete Davidson Presents: The Best Friends,NULL,NULL,NULL,NULL,NULL
138,The Unforgivable,7.1 (103k),"Drama , Crime ",1h 52min,R,Nora Fingscheidt 
139,The Platform,7.0 (210k),"Mystery & Thriller , Science-Fiction , Horror , Made in Europe ",1h 35min,NULL,Galder Gaztelu-Urrutia 
140,Christine,6.7 (81k),"Horror , Mystery & Thriller , Made in Europe ",1h 50min,R,John Carpenter 
141,The Alpinist,8.0 (7k),Documentary ,1h 32min,PG-13,Nick Rosen 
142,Life of Brian,8.0 (393k),Comedy ,1h 34min,R,Terry Jones 
143,The Irishman,7.8 (373k),"Drama , History , Crime , Mystery & Thriller ",3h 29min,R,Martin Scorsese 
144,A River Runs Through It,7.2 (59k),Drama ,2h 3min,PG,Robert Redford 
145,Crimson Peak,6.5 (145k),"Mystery & Thriller , Romance , Fantasy , Drama , Horror ",1h 59min,R,Guillermo del Toro 
146,Marriage Story,7.9 (293k),"Drama , Romance , Comedy ",2h 16min,R,Noah Baumbach 
147,Who We Are: A Chronicle of Racism in America,5.6,Documentary ,1h 57min,PG-13,Emily Kunstler 
148,The Nightingale,7.3 (29k),"Mystery & Thriller , Drama , Horror ",2h 16min,R,Jennifer Kent 
149,The Patriot,7.2 (271k),"Drama , Action & Adventure , History , War & Military ",2h 16min,R,Roland Emmerich 
150,Just Go with It,6.4 (240k),"Comedy , Romance ",1h 57min,PG-13,Dennis Dugan 
151,The Harder They Fall,6.5 (58k),"Action & Adventure , Drama , Western ",2h 19min,R,Jeymes Samuel 
152,Last Action Hero,6.4 (149k),"Fantasy , Action & Adventure , Comedy ",2h 10min,PG-13,John McTiernan 
153,Gantz:O,7.1 (14k),"Science-Fiction , Mystery & Thriller , Horror , Animation , Action & Adventure , Drama , Fantasy ",1h 35min,NC-17,Keiichi Sato 
154,The Old Guard,6.6 (158k),"Fantasy , Mystery & Thriller , Action & Adventure ",2h 5min,R,Gina Prince-Bythewood 
155,Darkest Hour,7.4 (193k),"Drama , History , War & Military , Kids & Family , Mystery & Thriller ",2h 5min,PG-13,Joe Wright 
156,Something's Gotta Give,6.7 (120k),"Drama , Comedy , Romance ",2h 3min,PG-13,Nancy Meyers 
157,Rambo,7.0 (229k),"Mystery & Thriller , War & Military , Action & Adventure , Made in Europe ",1h 33min,R,Sylvester Stallone 
158,Bo Burnham: Inside,8.7 (44k),"Comedy , Music & Musical , Drama , Reality TV ",1h 27min,R,Bo Burnham 
159,Tangerine,7.1 (31k),"Comedy , Drama , Crime ",1h 27min,R,Sean Baker 
160,The Rental,5.7 (30k),"Drama , Horror , Mystery & Thriller ",1h 28min,R,Dave Franco 
161,Amy Schumer Presents: Parental Advisory,NULL,NULL,NULL,NULL,NULL
162,Thir13en Ghosts,5.6 (86k),"Horror , Mystery & Thriller , Fantasy ",1h 31min,R,Steve Beck 
163,National Lampoon's Christmas Vacation,7.5 (185k),"Comedy , Made in Europe ",1h 33min,PG-13,Jeremiah S. Chechik 
164,Dark Shadows,6.2 (264k),"Fantasy , Comedy , Horror ",1h 53min,PG-13,Tim Burton 
165,Desperado,7.1 (184k),"Mystery & Thriller , Crime , Western , Action & Adventure , Made in Europe ",1h 44min,R,Robert Rodriguez 
166,Fractured,6.4 (71k),Mystery & Thriller ,1h 39min,R,Brad Anderson 
167,The Martha Mitchell Effect,NULL,NULL,NULL,NULL,NULL
168,Summerland,7.0 (6k),"Drama , Romance , War & Military ",1h 39min,PG,Jessica Swale 
169,Lean On Me,7.4 (20k),Drama ,1h 48min,PG-13,Nathaniel Jareth Nonis 
170,How to Train Your Dragon 2,7.8 (329k),"Action & Adventure , Animation , Kids & Family , Fantasy , Comedy ",1h 32min,PG,Dean DeBlois 
171,Blackhat,5.4 (58k),"Mystery & Thriller , Crime , Action & Adventure ",2h 13min,R,Michael Mann 
172,Dirty Harry,7.7 (154k),"Mystery & Thriller , Action & Adventure , Crime ",1h 42min,R,Don Siegel 
173,The Devil All the Time,7.1 (122k),"Drama , Crime , Mystery & Thriller , Horror ",2h 18min,R,Antonio Campos 
174,The Bad Batch,5.2 (30k),"Horror , Science-Fiction , Romance , Drama , Action & Adventure ",1h 58min,R,Ana Lily Amirpour 
175,Munich: The Edge of War,6.8 (27k),"Drama , History , Mystery & Thriller ",2h 9min,PG-13,Christian Schwochow 
176,Dirty Daddy: The Bob Saget Tribute,NULL,NULL,NULL,NULL,NULL
