,Movie title,IMDB rating,Genre,Runtime,Age rating,Director
0,Better Call Saul,8.8 (423k),"Drama , Crime ",49min,TV-MA,NULL
1,Stranger Things,8.7 (1m),"Science-Fiction , Drama , Fantasy , Horror , Mystery & Thriller ",1h 0min,TV-14,NULL
2,The Lincoln Lawyer,7.7 (24k),"Crime , Drama , Mystery & Thriller ",50min,TV-MA,NULL
3,Peaky Blinders,8.8 (498k),"Drama , Crime , Made in Europe ",58min,TV-MA,NULL
4,The Umbrella Academy,8.0 (208k),"Action & Adventure , Comedy , Drama , Fantasy , Science-Fiction ",50min,TV-14,NULL
5,Borgen,8.5 (24k),"Drama , Made in Europe ",58min,TV-MA,NULL
6,Keep Sweet: Pray and Obey,7.4 (4k),"Crime , Documentary ",49min,TV-MA,Grace McNally 
7,Outlander,8.4 (154k),"Science-Fiction , Fantasy , Romance , Drama ",1h 0min,TV-MA,NULL
8,"Love, Death & Robots",8.4 (131k),"Animation , Science-Fiction , Horror , Action & Adventure , Mystery & Thriller , Drama , Fantasy , Comedy ",13min,TV-MA,NULL
9,God's Favorite Idiot,5.6 (2k),"Comedy , Fantasy ",27min,TV-MA,NULL
10,The Staircase,7.8 (21k),"Crime , Documentary , Drama ",49min,TV-MA,Jean-Xavier de Lestrade 
11,Breaking Bad,9.5 (1m),"Drama , Mystery & Thriller , Crime ",48min,TV-MA,NULL
12,Seinfeld,8.9 (306k),Comedy ,24min,TV-PG,NULL
13,The Walking Dead,8.2 (951k),"Science-Fiction , Drama , Horror , Mystery & Thriller ",46min,TV-MA,NULL
14,Derry Girls,8.4 (33k),Comedy ,27min,TV-MA,NULL
15,Ozark,8.5 (293k),"Crime , Drama , Mystery & Thriller ",1h 0min,TV-MA,NULL
16,Attack on Titan,9.0 (325k),"Science-Fiction , Drama , Fantasy , Horror , Animation , Action & Adventure ",24min,TV-MA,NULL
17,Schitt's Creek,8.5 (114k),Comedy ,22min,TV-14,NULL
18,Survivor,7.4 (24k),Reality TV ,48min,TV-PG,NULL
19,First Kill,6.3 (18k),"Drama , Fantasy , Horror ",49min,TV-MA,NULL
20,The Blacklist,8.0 (241k),"Drama , Crime , Mystery & Thriller ",43min,TV-14,NULL
21,Grey's Anatomy,7.6 (296k),"Drama , Romance ",49min,TV-14,NULL
22,Jurassic World: Camp Cretaceous,7.5 (7k),"Action & Adventure , Kids & Family , Science-Fiction , Animation ",24min,TV-PG,NULL
23,Heartstopper,8.8 (41k),"Drama , Romance ",28min,TV-14,NULL
24,Demon Slayer: Kimetsu no Yaiba,8.7 (91k),"Science-Fiction , Animation , Action & Adventure , Horror , Fantasy , Mystery & Thriller ",25min,TV-MA,NULL
25,Pokémon,7.3,"Action & Adventure , Science-Fiction , Animation , Comedy , Fantasy , Kids & Family ",22min,TV-Y7,NULL
26,Teenage Mutant Ninja Turtles,7.8 (10k),"Action & Adventure , Science-Fiction , Animation , Crime , Mystery & Thriller , Fantasy , Horror , Kids & Family , Comedy , Drama ",24min,TV-Y7,NULL
27,Stargate SG-1,8.4 (90k),"Science-Fiction , Action & Adventure , Drama ",44min,TV-PG,NULL
